EventId,EventTemplate
E1,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>"
E2,"<*> close, <*> bytes (<*>) sent, <*> bytes received, lifetime <*>"
E3,<*> open through proxy <*> HTTPS
E4,"<*> close, <*> bytes (<*>) sent, <*> bytes (<*>) received, lifetime <*>"
E5,"<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>"
E6,<*> open through proxy <*> SOCKS5
E7,<*> error : A connection request was canceled before the completion.
E8,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.
E9,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>"
E10,<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>
E11,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>
