EventId,EventTemplate
E1,SP SSO descriptor not found for [<*>]
E2,Matching value [<*>] against pattern [<*>]
E3,Processing locale parameter [<*>] with value [<*>]
E4,Difference of checking required attributes: [<*>]
E5,Added code [<*>] for principal [<*>]
E6,Configuring notification sender [<*>]
E7,Creating groovy object instance from class [<*>]
E8,Locating registered service for client id [<*>]
E9,Starting to clean previously used authenticator tokens from [<*>] at [<*>]
E10,Executing groovy script [<*>] with variables <*>
E11,Delegation request has failed. Details are [<*>]
E12,Custom theme [<*>] for service [<*>] cannot be located. Falling back to default theme...
E13,No consent policy is defined for service [<*>]. Using the collection of attributes released for consent
E14,Attempting to update replication cache with service [<*>]
E15,Wrong client secret for service: [<*>]
E16,No principal was resolved. Falling back to the username [<*>] from the credentials.
E17,Throttling submission from [<*>]. More than [<*>] failed login attempts within [<*>] seconds. Authentication attempt exceeds the failure threshold [<*>]
E18,Provided credential [<*>] is not supported for surrogate authentication
E19,Current binding [<*>]
E20,Generated claims to put into token are [<*>]
E21,Groovy script [<*>] for key [<*>] is not cached
E22,Added file-based authentication handler for the target file [<*>]
E23,Fetching user attributes [<*>] for [<*>] via [<*>]
E24,Could not find value for mapped attribute [<*>] that is based off of [<*>] in the allowed attributes list. Ensure the original attribute [<*>] is retrieved and contains at least a single value. Attribute [<*>] will and can not be released without the presence of a value.
E25,Performing logout operations for [<*>]
E26,Resolved service [<*>]
E27,Existing indexes on collection [<*>] are [<*>]
E28,Continuing since [<*>] is in effect.
E29,Fetching geolocation results for [<*>]
E30,Trusting credential for: [<*>]
E31,"Network address [<*>], subnet mask [<*>] and/or host address [<*>] have different sizes! (return false ...)"
E32,No password encoder shall be created given the requested encoder type [<*>]
E33,Retrieved host name for the remote ip is [<*>]
E34,Credential attributes do not include an attribute for [<*>]. This will prohibit CAS to construct a meaningful authenticated principal. Examine the released claims and ensure [<*>] is allowed
E35,Shutting down watcher service for [<*>]
E36,Delegated client is: [<*>]
E37,Dropping database collection: [<*>]
E38,Extracting credentials for multifactor authentication via [<*>]
E39,Executing MongoDb throttling query [<*>]
E40,Requested LDAP attribute [<*>] could not be found on LDAP entry for [<*>]
E41,Metadata is not found for entity [<*>] and CAS service registry is consulted for the entity definition
E42,Removing service [<*>] from cache [<*>] @ [<*>]
E43,Found log stream [<*>] with sequence token [<*>]
E44,Requested database dialect type [<*>]
E45,Using LDAP [<*>] with baseDn [<*>] to locate surrogate accounts
E46,"Invoking Groovy script with attributes=<*>, service=[<*>] and default logger"
E47,Configuring service registry [<*>]
E48,warnUnregisteredClasses: [<*>]
E49,Registering class [<*>] with Kryo using id [<*>]
E50,No multifactor authentication providers are available in the application context to satisfy [<*>]
E51,The expiration policy of ticket [<*>] is set to use a negative (i.e. infinite) ttl
E52,Setting binding [<*>]
E53,Deleted [<*>] account record(s)
E54,Login: [<*>]
E55,Service [<*>] supports single logout and is found in the registry as [<*>]. Proceeding...
E56,Located entity id [<*>] from request
E57,Merged current principal attributes are [<*>]
E58,Received YubiKey ping response [<*>]
E59,Authenticated user profile [<*>]
E60,No entity id found for parameter [<*>]
E61,Attempting to find geolocation for [<*>]
E62,Located MongoDb collection instance [<*>]
E63,Parsing expression as [<*>]
E64,Initializing metadata resolver for [<*>]
E65,Does password [<*>] match original password [<*>]: [<*>]
E66,Invalid YubiKey token: [<*>]
E67,Found and added default attribute for release: [<*>]
E68,Attempting to sign value based on signing key defined by [<*>]
E69,No extensions in the SP SSO descriptor are located for [<*>]
E70,Fetching Google Authenticator records based on key [<*>] for [<*>]
E71,Consentable attributes after force-including attributes are [<*>]
E72,InetAddress netmask: [<*>]
E73,Created response entity [<*>]
E74,Locating ticket ticketId [<*>]
E75,[<*>]: [<*>]ms
E76,Error reading configuration file [<*>]
E77,LOGGER: Could not add template prefix ' <*> ' to resolver: [<*>] java.io.FileNotFoundException
E78,LOGGER: Could not add template prefix ' <*> ' to resolver: [<*>] <*>
E79,Calling attribute policy [<*>] to process attributes for [<*>]
E80,The client secret is not defined for the registered service [<*>]
E81,Attempting to verify signature based on signing key defined by [<*>]
E82,Web server stopped [<*>]
E83,Recording submission failure for [<*>]
E84,Requested response type is [<*>]
E85,Configuration indicates use of a custom password encoder [<*>]
E86,Initiating attributes release phase via [<*>] for principal [<*>] accessing service [<*>] defined by registered service [<*>]...
E87,Adding attributes [<*>] to the selected profile: [<*>]
E88,Attempting to locate service [<*>] via [<*>]
E89,Attempting to consume [<*>]
E90,Found MDUI info for [<*>]
E91,Unsupported response type: [<*>]
E92,"Unable to determine CloudWatch log sequence token. Log stream [<*>] likely does not exist for log group [<*>], or cannot be determined."
E93,Surrogate accounts authorized for [<*>] are [<*>]
E94,"Received user object as [User{id=<*>, name='Alice', email='alice@example.com'}]"
E95,"Received user object as [User{id=<*>, name='<*>', email='<*>'}]"
E96,Decoding JWT based on keys provided by service [<*>]
E97,Locating LDAP entry [<*>]
E98,Evaluating metadata resource [<*>]
E99,Entity id [<*>] not found in the registry. Fallback onto [<*>]
E100,Before updating ticket [<*>] Previous time used: [<*>] Last time used: [<*>] Usage count: [<*>]
E101,Returning the default principal id [<*>] for username.
