EventId,EventTemplate
E1,Adding hints for <*>
E2,Only <*> GB free across all data volumes. Consider adding more capacity to your cluster or removing obsolete snapshots
E3,Only <*> free across all data volumes. Consider adding more capacity to your cluster or removing obsolete snapshots
E4,Failed to access partition denylist cache for <*> / <*> <*>
E5,"[Stream # <*> ] Start streaming sstable <*> to <*> , repairedAt = <*> , totalSize = <*>"
E6,Sending schema pull request to <*>
E7,Setting repair_state_size to <*>
E8,user <*> has finished building
E9,product . <*> has finished building
E10,order . <*> has finished building
E11,customer . <*> has finished building
E12,inventory . <*> has finished building
E13,sales . <*> has finished building
E14,report . <*> has finished building
E15,feedback . <*> has finished building
E16,review . <*> has finished building
E17,category <*> has finished building
E18,cart . <*> has finished building
E19,payment . <*> has finished building
E20,shipment . <*> has finished building
E21,promotion . <*> has finished building
E22,coupon . <*> has finished building
E23,Codec created: <*>
E24,adding secondary index table <*> to operation
E25,key <*> removed from cipher key cache
E26,Expected: <*>
E27,Directory <*> doesn't exist
E28,Querying cache for codec [ <*> <-> <*> ]
E29,"Unable to delete file <*> as it does not exist, stack trace: <*>"
E30,Mean: <*>
E31,Staging for obsolescence reader: Reader <*> is obsolete and will be replaced by Reader <*>
E32,Staging for obsolescence reader: Reader <*> has reached its end of life and needs to be disposed of
E33,Staging for obsolescence reader: Reader <*> is incompatible with the new system and will be upgraded to Reader <*>
E34,Staging for obsolescence reader: Reader <*> has a low performance and will be phased out
E35,Staging for obsolescence reader: Reader <*> is no longer supported by the manufacturer and will be retired
E36,Staging for obsolescence reader: Reader <*> has a high failure rate and will be removed
E37,Staging for obsolescence reader: Reader <*> is outdated and will be exchanged for a newer model
E38,Staging for obsolescence reader: Reader <*> has a security vulnerability and will be patched
E39,Staging for obsolescence reader: Reader <*> is inefficient and will be optimized
E40,Staging for obsolescence reader: Reader <*> is redundant and will be consolidated
E41,Staging for obsolescence reader: Reader <*> is defective and will be repaired
E42,Staging for obsolescence reader: Reader <*> is overused and will be rested
E43,Staging for obsolescence reader: Reader <*> is underutilized and will be reassigned
E44,Max: <*>
E45,GitSHA: <*>
E46,A repair_session_space of <*> mebibytes is likely to cause heap pressure
E47,Failed to wait for tracing events to complete in <*> seconds
E48,Scheduling expired snapshot cleanup with initialDelaySeconds= <*> and cleanupPeriodSeconds= <*>
E49,Changing auto_optimise_preview_repair_streams from <*> to <*>
E50,GET message received from <*>
E51,<*> message received from <*>
E52,Couldn't open sstable: <*>
E53,"Closing outbound connections to <*> , as inactive and not known by Gossiper"
E54,"Mismatched line in file <*> : got <*> expected '<*>', giving up"
E55,Requesting schema from <*>
E56,Connection version <*> (min <*>) from <*>
E57,Streaming to restore replica count failed at <*>
E58,Streaming to restore replica count failed due to <*>
E59,Streaming to restore replica count failed with exception <*>
E60,Streaming to restore replica count failed for table <*>
E61,Streaming to restore replica count failed after <*> retries
E62,Streaming to restore replica count failed because of <*>
E63,Streaming to restore replica count failed on node <*>
E64,Streaming to restore replica count failed during <*>
E65,Streaming to restore replica count failed with <*>
E66,Streaming to restore replica count failed for keyspace <*>
E67,Streaming to restore replica count failed from source node <*>
E68,Streaming to restore replica count failed in <*> minutes
E69,Streaming to restore replica count failed for column family <*>
E70,<*> : Executed <*> barriers with <*> operations. <*> % complete.
E71,Didn't find live replica to restore replication for <*>
E72,Setting streaming_state_expires to <*> minutes
E73,Setting streaming_state_expires to <*> seconds
E74,Setting streaming_state_expires to <*>
E75,Drop table '<*>'
E76,Failed when decoding the byte buffer in ByteBufferUtil.string() ce: <*>
E77,Could not calculate the size of <*> . java.io.FileNotFoundException: <*> (Is a directory)
E78,Could not calculate the size of <*> . <*>: Permission denied
E79,Could not calculate the size of <*>. java.nio.file.FileSystemException: <*>: Too many open files
E80,Could not calculate the size of <*> . java.io.IOException: Input/output error
E81,Could not calculate the size of <*> . <*>: snapshotDir is null
E82,Could not calculate the size of <*> . <*>: snapshotDir is not a valid directory
E83,Could not calculate the size of <*> . java.nio.file.NoSuchFileException: <*>
E84,Could not calculate the size of <*> . <*> is a special file
E85,Could not calculate the size of <*> . <*>: Java heap space
E86,Could not calculate the size of <*> . java.nio.file.AccessDeniedException: <*>
E87,Could not calculate the size of <*> . <*>: Operation timed out
E88,Could not calculate the size of <*> . <*>: Recursive call to <*>
E89,Could not calculate the size of <*> . java.lang.InternalError: Unknown error occurred
E90,Could not calculate the size of <*> . <*>: <*>
E91,Didn't receive schemas for all known versions within the <*>. Use -D cassandra.skip_schema_check=<*> to skip this check.
E92,Didn't receive schemas for all known versions within the <*>. Use -D cassandra.bootstrap_skip_schema_check=<*> to skip this check.
E93,Loading settings from <*>
E94,Received schema version request from <*>
E95,nodetool: <*>
E96,"CAS precondition does not match current values [name: <*>, age: <*>, gender: <*>]"
