EventId,EventTemplate
E1,caffemodel: <*>
E2,Seek in file containing <*>
E3,Testing file <*>
E4,Length = <*>
E5,Framerate = <*>
E6,delta from <*> to <*>
E7,frame number:<*> timestamp:<*>
E8,AudioFrameDuration = <*>
E9,"audioFrame # <*>, timeStamp = <*>, difference = <*>"
E10,======= seek in <*> is finished ===========
E11,ERROR: SkewGrayImage: Require <*> channel: nChannels=<*>
E12,File with classes labels not found <*>
E13,prototxt: <*>
E14,Can't read image from the file: <*>
E15,Best class: <*> '<*>'
E16,Probability: <*>%
E17,Error loading classifier file <*>.
E18,exception: <*>
E19,frame grabbed at <*>
E20,loop end with frame: <*>
E21,"<*>, interrupt flag == <*>"
E22,rho= <*>
E23,Faces detected: <*>
E24,Predicted label: <*>
E25,Vector size: <*>
E26,Descriptor size: <*>
E27,Countour count <*>
E28,Channels: <*>
E29,Rows: <*>
E30,Cols: <*>
E31,Type: <*>
E32,Dims: [<*>]
E33,Depth: <*>
E34,PSNR: <*>
E35,SSIM: <*>
E36,Device: <*> <*> <*> Locked: <*>
E37,Lip-flap correction: <*> : <*> -> <*>
E38,Detected <*> objects:
E39,Dog - <*>%
E40,Cat - <*>%
E41,Bird - <*>%
E42,Flower - <*>%
E43,Car - <*>%
E44,Tree - <*>%
E45,Fish - <*>%
E46,Book - <*>%
E47,Phone - <*>%
E48,Clock - <*>%
E49,House - <*>%
E50,Star - <*>%
E51,Moon - <*>%
E52,Sun - <*>%
E53,Cloud - <*>%
E54,Error on InputStream.reset(): <*>
E55,Error on InputStream.read(): <*>
E56,Error on OutputStream.seek(): t=<*>
E57,Exception in the TryLoad !<*>
E58,cvRemap: <*>
E59,<*> object descriptors
E60,<*> matching pairs found
E61,Can not load <*> and/or <*>
E62,Finding time = <*> ms
E63,Firmware: <*>
E64,RealSense2 devices found: <*>
E65,RealSense devices found: <*>
E66,Devices found: <*>
E67,"Using device <*>, an <*>"
E68,Serial number: <*>
E69,iteratingTime = <*> iterations = <*> objectiveRMSE = <*>
E70,<*> image descriptors
E71,Serial: <*>
E72,Contour count <*>
E73,JavaCV version <*> Copyright (C) <*>-<*> Samuel Audet <samuel.audet@gmail.com> Project site: [https://github.com/bytedeco/javacv]
