EventId,EventTemplate
E1,INFO Upgraded detached plugins (and dependencies): [<*>]
E2,WARNING Failed to restart server socket <*>
E3,Node <*> is not a new node skipping
E4,Checking <*>
E5,build <*> be renamed
E6,"""<*> doesn't declare required core version."
E7,https://example.com/jobs/<*> is not a valid external job ( <*> Network Authentication Required )
E8,SEVERE Failed to replace name <*>
E9,SEVERE Failed to replace <*> <*>
E10,"Added remember-me cookie for user <*>, expiry: <*>"
E11,No JDK named <*> found
E12,NullPointerException Signature verification failed in <*>
E13,IOException Signature verification failed in <*>
E14,SignatureException Signature verification failed in <*>
E15,FileNotFoundException Signature verification failed in <*>
E16,InvalidKeyException Signature verification failed in <*>
E17,NoSuchAlgorithmException Signature verification failed in <*>
E18,ClassNotFoundException Signature verification failed in <*>
E19,MalformedURLException Signature verification failed in <*>
E20,ZipException Signature verification failed in <*>
E21,SQLException Signature verification failed in <*>
E22,SAXException Signature verification failed in <*>
E23,NumberFormatException Signature verification failed in <*>
E24,ArrayIndexOutOfBoundsException Signature verification failed in args[<*>]
E25,SecurityException Signature verification failed in <*>
E26,AssertionError Signature verification failed in <*>
E27,<*> found no build.xml in <*>
E28,ERROR Could not create directory <*>
E29,WARN Could not create directory <*>
E30,<*> Could not create directory <*>
E31,Failed to get thread dump for node <*>: <*>
E32,Failed to restart Jenkins <*>
E33,Reading version from: C:<*>.xml
E34,Reading version from: <*>
E35,"Jenkins is in <*> mode, using version: <*>"
E36,"jobs claimed to exist, but cannot be listed"
E37,"jobs[<*>] claimed to exist, but cannot be listed"
E38,<*> Matched operating system <*>
E39,No user folder yet for user <*>
E40,No token received for <*>
E41,"Empty name received for <*>, we do not care about it"
E42,The API token with name=[<*>] is not in hex-format and so cannot be used
E43,User without apiTokenProperty found id=<*>
E44,<*> Unexpected class received for the token store information
E45,Unknown host key for <*>
E46,Plugin <*> is disabled
E47,<*> Unexpected error while waiting for initial plugin set to install. <*>
E48,<*> Finished upload side for <*> : <*>
E49,INFO Upgrading Jenkins. The last running version was <*> . This Jenkins is version <*> .
E50,ERROR Could not move <*> to <*>
E51,WARN Could not move <*> to <*>
E52,INFO Could not move <*> to <*>
E53,DEBUG Could not move <*> to <*>
E54,TRACE Could not move <*> to <*>
E55,FATAL Could not move <*> to <*>
E56,WARNING failure in task not wrapped in SafeTimerTask <*>
E57,WARNING found unexpected dir <*>
E58,<*> Starting installation of a batch of <*> plugins plus their dependencies
E59,SEVERE Failed to resolve dependencies for the bundled plugin <*> <*>
E60,FINER new interceptor delegating to <*>
E61,<*> Operating system <*> started warnings <*> and reaches end of life <*>
E62,<*> Unable to setup dependency list for plugin upload <*>
E63,SEVERE Failed to reload Jenkins config <*>
E64,WARNING Call to pin plugin has been ignored. Plugin name: <*>
E65,WARNING unknown client charset <*>
E66,<*> Cancelling task
E67,<*> Cancelling request
E68,<*> Cancelling operation
E69,<*> Cancelling connection
E70,<*> Cancelling subscription
E71,<*> Cancelling download
E72,<*> Cancelling upload
E73,<*> Cancelling transaction
E74,<*> Cancelling query
E75,<*> Cancelling session
E76,<*> Cancelling stream
E77,<*> Cancelling timer
E78,<*> Cancelling notification
E79,<*> Cancelling backup
E80,<*> Cancelling restore
E81,<*> Use of custom plugin manager [<*>] requested.
E82,WARNING Attempt to verify a downloaded file (<*>) using <*> failed since it could not be computed. Falling back to weaker algorithms. Update your JRE.
E83,<*> could not start trigger while loading project <*> <*>
E84,<*> Migrating build records in <*>
E85,SEVERE Failed to release all loggers <*>
E86,SEVERE Failed to create Guice container from all the plugins <*>
E87,<*> Failed to touch <*>
E88,CONFIG Access to the property key is prohibited
E89,CONFIG Access to the property <*> is prohibited
E90,FINE Pattern [<*>] did not match from file <*>
E91,log output: INFO: Starting application
E92,log output: DEBUG: Loading configuration file
E93,log output: ERROR: Failed to connect to <*>
E94,log output: WARN: Missing dependency detected
E95,log output: TRACE: Entering main loop
E96,log output: FATAL: Unhandled exception occurred
E97,log output: INFO: Stopping application
E98,log output: DEBUG: Releasing resources
E99,log output: ERROR: <*>
E100,log output: WARN: Potential security vulnerability
E101,log output: <*>: Exiting with code <*>
E102,log output: FATAL: <*>
E103,log output: INFO: Restarting application
E104,log output: DEBUG: Checking system status
E105,Scheduled a replacement of <*>
E106,"Failed to locate the JAR file for <*> The default URLConnection stream access will be used, file descriptor may be leaked."
E107,Deprecated unpacked classes directory found in <*>
E108,Launcher: <*>
E109,Plugin strategy (<*>) is not an instance of <*>
E110,Father of <*> and its <*> points to two different instances. Probably misplaced <*>. See <*>
E111,[Jenkins] provisioning successfully completed. We have now <*> computer(s)
E112,[Test] provisioning successfully completed. We have now <*> computer(s)
E113,[Dev] provisioning successfully completed. We have now <*> computer(s)
E114,[Prod] provisioning successfully completed. We have now <*> computer(s)
E115,[QA] provisioning successfully completed. We have now <*> computer(s)
E116,[Demo] provisioning successfully completed. We have now <*> computer(s)
E117,[Staging] provisioning successfully completed. We have now <*> computer(s)
E118,[Backup] provisioning successfully completed. We have now <*> computer(s)
E119,[Security] provisioning successfully completed. We have now <*> computer(s)
E120,[Support] provisioning successfully completed. We have now <*> computer(s)
E121,[Sales] provisioning successfully completed. We have now <*> computer(s)
E122,[Marketing] provisioning successfully completed. We have now <*> computer(s)
E123,[HR] provisioning successfully completed. We have now <*> computer(s)
E124,[Finance] provisioning successfully completed. We have now <*> computer(s)
E125,running <*>
E126,Executing bundled script: <*>
E127,Provisioning strategy <*> declared provisioning complete
E128,XML external entity (XXE) prevention has been disabled by the system property <*> =<*> Your system may be vulnerable to XXE attacks.
E129,Updating metadata for <*>
E130,<*> is a loopback address
E131,ignoring non-object <*>
E132,JENKINS-<*> fix not active: <*>
E133,"Build record migration (<*>) is one-way. If you need to downgrade Jenkins, run: java -jar jenkins.war --argumentsRealm.passwd.admin=admin --argumentsRealm.roles.admin=admin"
E134,"Build record migration (<*>) is one-way. If you need to downgrade Jenkins, run: java -jar jenkins.war --httpPort=<*> --prefix=<*>"
E135,"Build record migration (<*>) is one-way. If you need to downgrade Jenkins, run: <*>"
E136,Failed to identify the short name from <*>
E137,Reloading Jenkins as requested by admin from <*>
E138,Reloading Jenkins as requested by guest from <*>
E139,Reloading Jenkins as requested by <*> from <*>
E140,skipping non-directory <*>
E141,Level.WARNING failed to look up <*> in parent <*>
E142,"The Remoting version is older than the minimum required version (<*>). The connection will be allowed, but compatibility is NOT guaranteed."
E143,[DecoratedWrapper]: Number of environment variables is <*>
E144,<*> starting rendering <*> at <*>
E145,"WARNING Files in <*> are expected to be either certificates or .txt files documenting the certificates, but <*> did not parse as a certificate. Skipping this file for now. java.security.cert.CertificateException"
E146,"WARNING Files in <*> are expected to be either certificates or .txt files documenting the certificates, but <*> did not parse as a certificate. Skipping this file for now. java.io.IOException"
E147,"WARNING Files in <*> are expected to be either certificates or .txt files documenting the certificates, but <*> did not parse as a certificate. Skipping this file for now. javax.security.cert.CertificateParsingException"
E148,"WARNING Files in /etc/certs are expected to be either certificates or .txt files documenting the certificates, but <*> did not parse as a certificate. Skipping this file for now. java.lang.IllegalArgumentException"
E149,"WARNING Files in <*> are expected to be either certificates or .txt files documenting the certificates, but <*> did not parse as a certificate. Skipping this file for now. <*>"
E150,No certificate found in <*>. Cannot verify the signature
E151,<*> Failed to shut down classloader <*>
E152,WARNING need to delete anomalous file entry <*>
E153,<*> Error sending usage statistics <*>: <*>
E154,WARNING label assignment is using legacy '<*>'
E155,<*> <*> is a viable candidate
E156,"<*> Unable to rename the job <*> : name <*> is already in use. User <*> has <*> permission, but no <*> for existing job with the same name"
E157,Plugin strategy: <*>
E158,<*> requires POST
E159,SEVERE Failed to stop filters <*>
