LineId,EventId,Content,EventTemplate
1,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
2,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
3,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
4,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
5,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
6,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
7,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
8,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
9,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
10,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
11,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
12,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
13,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
14,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
15,E1,32-bit Windows Python runtime is not supported. Please switch to 64-bit Python.,<*> Windows Python runtime is not supported. Please switch to <*> Python.
16,E2,You are using Python 3.8.5. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
17,E2,You are using Python 3.7.10. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
18,E2,You are using Python 3.6.12. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
19,E2,You are using Python 3.5.7. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
20,E2,You are using Python 3.4.10. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
21,E2,You are using Python 2.7.18. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
22,E2,You are using Python 3.8.10. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
23,E2,You are using Python 3.7.8. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
24,E2,You are using Python 3.6.9. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
25,E2,You are using Python 3.5.6. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
26,E2,You are using Python 3.4.9. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
27,E2,You are using Python 2.7.15. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
28,E2,You are using Python 3.8.8. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
29,E2,You are using Python 3.7.7. Python >=3.9.0 is required.,You are using Python <*>. Python >=<*> is required.
30,E3,Moving pytorch-1.10.0-cp38-cp38-linux_x86_64.whl wheel to /pytorch_project/dist,Moving <*> wheel to <*>
31,E3,Moving pytorch-1.9.0-cp37-cp37m-manylinux1_x86_64.whl wheel to /pytorch_env/dist,Moving <*> wheel to <*>
32,E3,Moving torch-1.12.0-cp39-cp39-linux_x86_64.whl wheel to /pytorch_dist/dist,Moving <*> wheel to <*>
33,E3,Moving torch-1.11.0-cp36-cp36m-manylinux1_x86_64.whl wheel to /pytorch_repo/dist,Moving <*> wheel to <*>
34,E3,Moving torchvision-0.11.1-cp38-cp38-linux_x86_64.whl wheel to /pytorch_build/dist,Moving <*> wheel to <*>
35,E3,Moving torchtext-0.12.0-cp37-cp37m-manylinux1_x86_64.whl wheel to /pytorch_package/dist,Moving <*> wheel to <*>
36,E3,Moving torchaudio-0.10.0-cp39-cp39-linux_x86_64.whl wheel to /pytorch_release/dist,Moving <*> wheel to <*>
37,E3,Moving torchdata-0.2.0-cp36-cp36m-manylinux1_x86_64.whl wheel to /pytorch_dev/dist,Moving <*> wheel to <*>
