EventId,EventTemplate
E1,<*> Windows Python runtime is not supported. Please switch to <*> Python.
E2,You are using Python <*>. Python >=<*> is required.
E3,Moving <*> wheel to <*>
E4,build pytorch with <*>+<*> backend
E5,Auto-selecting conda option for docker images
E6,Move <*> into a standard location
E7,replace the original wheel with the repaired one
E8,Terminating all instances of type <*>
E9,Waiting for instance <*> to terminate
E10,Updated tag from Tag: <*> to Tag: <*>
E11,Can't embed libcurl.so.<*> as it could not be found
E12,Can't embed libssl.so.<*> as it could not be found
E13,Can't embed libcrypto.so.<*> as it could not be found
E14,Can't embed libz.so.<*> as it could not be found
E15,Can't embed libpng16.so.<*> as it could not be found
E16,Can't embed libjpeg.so.<*> as it could not be found
E17,Can't embed libfreetype.so.<*> as it could not be found
E18,Can't embed libfontconfig.so.<*> as it could not be found
E19,Can't embed libexpat.so.<*> as it could not be found
E20,Can't embed libglib-<*>.so.<*> as it could not be found
E21,Can't embed libpango-<*>.so.<*> as it could not be found
E22,Can't embed libcairo.so.<*> as it could not be found
E23,Can't embed libX11.so.<*> as it could not be found
E24,Can't embed libXrender.so.<*> as it could not be found
E25,Testing SSL certificate checking for Python: <*>
E26,This version never checks SSL certs; skipping tests
E27,"z-value < <*>, no perf regression detected."
E28,We will use these numbers as new baseline.
E29,"Test set: Average loss: <*>, Accuracy: <*> (<*>%)"
E30,network_driver version actual: <*> expected: <*> for channel <*>.
E31,database_connector version actual: <*> expected: <*> for channel <*>.
E32,auth_module version actual: <*> expected: <*> for channel <*>.
E33,file_system version actual: <*> expected: <*> for channel <*>.
E34,security_patch version actual: <*> expected: <*> for channel <*>.
E35,ui_library version actual: <*> expected: <*> for channel <*>.
E36,logging_tool version actual: <*> expected: <*> for channel <*>.
E37,data_processor version actual: <*> expected: <*> for channel <*>.
E38,api_gateway version actual: <*> expected: <*> for channel <*>.
E39,storage_service version actual: <*> expected: <*> for channel <*>.
E40,notification_system version actual: <*> expected: <*> for channel <*>.
E41,cache_manager version actual: <*> expected: <*> for channel <*>.
E42,job_scheduler version actual: <*> expected: <*> for channel <*>.
